id,name,image_url,gender,biography,country_id,created_at
11,John Woo,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/s7sDmQq8cegHnsTmD0u2eZ4ArYZ.jpg,1,"John Woo Yu-Sen SBS is a Hong Kong film director and producer. Recognized for his stylised films of highly choreographed action sequences, Mexican standoffs, and use of slow-motion, Woo has directed several notable Hong Kong action films, among them, A Better Tomorrow, The Killer, Hard Boiled and Red Cliff. His Hollywood films include Hard Target, Broken Arrow, Face/Off and Mission: Impossible 2. He also created the comic series Seven Brothers, published by Virgin Comics. Woo was described by Dave Kehr in The Observer in 2002 as ""arguably the most influential director making movies today"". Woo cites his three favorite films as David Lean's Lawrence of Arabia, Akira Kurosawa's Seven Samurai and Jean-Pierre Melville's Le Samouraï.",9,2023-02-02 14:14:19.37307+00
12,J.J. Abrams,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/k4IWd2RV5kY1kAL2VgKQwFvnCLP.jpg,1,"Jeffrey Jacob Abrams (born June 27, 1966) is an American filmmaker. He is best known for his work in the genres of action, drama, and science fiction. Abrams wrote or produced such films as Regarding Henry (1991), Forever Young (1992), Armageddon (1998), Cloverfield (2008), Star Trek (2009), Star Wars: The Force Awakens (2015), and Star Wars: The Rise of Skywalker (2019).",1,2023-02-02 14:16:41.738795+00
13,Brad Bird,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ZX1hAfWK1zslpB6ifwgDP2uBqn.jpg,1,"Phillip Bradley ""Brad"" Bird (born September 15, 1957) is an American director, voice actor, animator and screenwriter. He is best known for writing and directing Disney/Pixar's The Incredibles (2004) and Ratatouille (2007). He also adapted and directed the critically acclaimed 2D animated 1999 Warner Brothers film The Iron Giant. Reviewing the Ratatouille DVD, Eye Weekly offered this characterization of Bird's work: ""It's very hard to think of another mainstream American director with a comparably fluid visual style or such a vise-grip on storytelling mechanics."" He also directed The Simpsons ' episodes ""Krusty Gets Busted"" and ""Like Father, Like Clown"".",1,2023-02-02 14:20:41.352573+00
15,Guy Ritchie,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/9pLUnjMgIEWXi0mlHYzie9cKUTD.jpg,1,"Guy Stuart Ritchie (born 10 September 1968) is an English film director, producer, writer, and businessman. His other directed motion pictures are The Man From U.N.C.L.E. (2015), which is a remake of a 1960 spy series, King Arthur: Legend of the Sword (2017) and the live-action adaptation of Disney's Aladdin (2019). Aladdin earned more than $1 billion worldwide, becoming one of the highest-grossing films in 2019, and the 34th highest-grossing film of all-time during its theatrical run. In 2020, he returned to crime comedy with The Gentlemen (2019), which was mostly well received and a commercial success. In 2021, he directed Jason Statham in the action film, Wrath of Man.",3,2023-02-03 09:09:59.855883+00
22,Kenneth Branagh,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/AbCqqFxNi5w3nDUFdQt0DGMFh5H.jpg,1,"Sir Kenneth Charles Branagh (born 10 December 1960) is a British actor and filmmaker. Branagh trained at the Royal Academy of Dramatic Art in London; in 2015 he succeeded Richard Attenborough as its president. He has been nominated for five Academy Awards and five Golden Globe Awards. He has won three BAFTAs and two Emmy Awards. He was appointed a Knight Bachelor in the 2012 Birthday Honours and knighted on 9 November 2012. He was made a Freeman of his native city of Belfast in January 2018. In 2020, he was listed at number 20 on The Irish Times list of Ireland's greatest film actors.",3,2023-02-03 12:09:03.661948+00
24,Alan Taylor,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/sXC2wNRo7lshghNnNaPdWQ9sqKe.jpg,1,"Alan Taylor is an American television and film director, television producer, and screenwriter, known for his work on TV shows such as Lost, The West Wing, Six Feet Under, Sex and the City, The Sopranos, and the films Palookaville, Thor: The Dark World and Terminator Genisys.",1,2023-02-03 12:14:27.347815+00
33,Scott Derrickson,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xNT24kgpyw1rdoYJZDW0kEG6Wuq.jpg,1,"Scott Derrickson is an American screenwriter, producer, and director. He lives in Los Angeles, California.",1,2023-02-03 12:42:20.457379+00
34,Sam Raimi,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg,1,"Samuel M. ""Sam"" Raimi (born October 23, 1959) is an American film director, producer, screenwriter, and actor. He is best known for creating the cult supernatural horror franchise ""The Evil Dead""—in which he directed the first three installments (1981–92)—and for directing the original ""Spider-Man"" trilogy (2002–07) starring Tobey Maguire.",1,2023-02-03 12:44:43.856894+00
16,Jon Favreau,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg,1,"Jonathan Kolia Favreau (/ˈfævroʊ/; born October 19, 1966) is an American actor, director, producer and screenwriter. As a filmmaker, Favreau has been significantly involved with the Marvel Comics franchise, particularly in collaboration with Robert Downey Jr. He directed, produced, and appeared as Happy Hogan in the films Iron Man (2008) and Iron Man 2 (2010). He also served as an executive producer for, and/or appeared as the character in, the films The Avengers (2012), Iron Man 3 (2013), Avengers: Age of Ultron (2015), Spider-Man: Homecoming (2017), Avengers: Infinity War (2018), Avengers: Endgame (2019), Spider-Man: Far From Home (2019) and Spider-Man: No Way Home (2021).",1,2023-02-03 09:25:05.481329+00
18,Joss Whedon,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/mVvpZnKYKSCtkOQixQnOonV5kv3.jpg,1,"Joseph Hill ""Joss"" Whedon is an American screenwriter, executive producer, director, occasional composer and actor, and founder of Mutant Enemy Productions. He is best known as the creator and showrunner of the television series Buffy the Vampire Slayer (1997–2003), Angel (1999–2004), Firefly (2002) and Dollhouse (2009–2010), as well as the short film Dr. Horrible's Sing-Along Blog (2008). He is also notable for his work in film, comic books, and online media. Many of Whedon's projects, as well as Whedon himself, enjoy a cult status.",1,2023-02-03 09:38:00.391149+00
35,Ryan Coogler,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/40n61jOMzHpDSnzLBQOSEEWlxEw.jpg,1,"Ryan Kyle Coogler (born May 23, 1986) is an American film director, producer, and screenwriter. His first feature film, Fruitvale Station (2013), won the top audience and grand jury awards in the U.S. dramatic competition at the 2013 Sundance Film Festival.[2] He has since co-written and directed the seventh film in the Rocky series, Creed (2015), and the Marvel film Black Panther (2018), the latter of which broke numerous box office records and became the highest-grossing film of all time by an African American director.",1,2023-02-03 12:46:57.063464+00
17,Shane Black,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fafBg8LjtQqsXyFg8ZgW7DHQXKt.jpg,1,"Shane Black (born December 16, 1961) is an American film director, producer, screenwriter and actor who has written such films as Lethal Weapon and Lethal Weapon 2, The Monster Squad, The Last Boy Scout, Last Action Hero and The Long Kiss Goodnight. As an actor, Black is best known for his role as Rick Hawkins in Predator (1987).",1,2023-02-03 09:33:50.219694+00
19,Anthony Russo,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xbINBnWn28YygYWUJ1aSAw0xPRv.jpg,1,"Anthony and Joe Russo, known together professionally as the Russo brothers, are Emmy Award-winning American film and television directors. The brothers direct most of their work jointly, and they also occasionally work as producers, actors, and editors. The Russos are from Cleveland, Ohio, and were born a year apart. They are alumni of Case Western Reserve University.",1,2023-02-03 09:45:37.401112+00
25,Sam Hargrave,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/mq7KgHiyuwFOvxuEg8p0Z30pybY.jpg,1,"Sam Hargrave is an American stunt coordinator, stuntman, actor and director. He is best known for his collaborations with the Russo brothers, including being the stunt coordinator for several films in the Marvel Cinematic Universe. The pair also wrote and produced Hargrave's directorial debut, Extraction (2020). Hargrave also served as Second Unit Director for season two of The Mandalorian.",1,2023-02-03 12:16:36.302367+00
27,Cate Shortland,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4XvyAyqYH8QDMbo0OwZtRHtbLti.jpg,2,"Cate Shortland is an Australian writer and director of film and television.

She was born 10 August 1968 in Temora, New South Wales. She graduated from the Australian Film Television and Radio School, where she received the Southern Star Award for most promising student.",5,2023-02-03 12:22:57.807811+00
28,Denis Villeneuve,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg,1,"Denis Villeneuve OC CQ (French: [dəni vilnœv]; born October 3, 1967) is a Canadian filmmaker. He is a four-time recipient of the Canadian Screen Award (formerly Genie Award) for Best Direction, winning for Maelström in 2001, Polytechnique in 2009, Incendies in 2010 and Enemy in 2013. The first three of these films also won the Canadian Screen Award for Best Motion Picture, while the latter was awarded the prize for best Canadian film of the year by the Toronto Film Critics Association.",4,2023-02-03 12:25:58.12908+00
32,Peyton Reed,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/aucXNycAtFREMIKr6ikmHvd2Mmp.jpg,1,"Peyton Reed (born 3 July 1964) is an American television and film director.

Reed was born in Raleigh, North Carolina and attended the University of North Carolina at Chapel Hill. Reed directed the motion pictures Bring It On, Down with Love, and The Break-Up; all comedy films. He has also acted in small roles in some films including his own and has written a few original songs for his soundtracks. He has also produced a few music videos.",1,2023-02-03 12:38:54.269181+00
20,Joe Johnston,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fbGZo6CG9Z9zKFh8D5wHunyu7gJ.jpg,1,"Joseph Eggleston ""Joe"" Johnston II  is an American film director and former effects artist best known for his work on the Star Wars films, as well as directing special effects-heavy films such as Honey I Shrunk the Kids, Jumanji, The Rocketeer,  Jurassic Park III, and Captain America: The First Avenger.",1,2023-02-03 11:53:56.380083+00
21,Joe Russo,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ph1GRCWVKk6Mz9lMBrxKvlb6Imo.jpg,1,"Anthony and Joe Russo, known together professionally as the Russo brothers, are Emmy Award-winning American film and television directors. The brothers direct most of their work jointly, and they also occasionally work as producers, actors, and editors. The Russos are from Cleveland, Ohio, and were born a year apart. They are alumni of Case Western Reserve University.",1,2023-02-03 11:55:54.394752+00
23,Taika Waititi,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/lxbNTecxOIlV4roX02RT4Ga2Rn2.jpg,1,"Taika David Cohen ONZM (born 16 August 1975), known professionally as Taika Waititi, is a New Zealand film and television director, producer, screenwriter, actor, and comedian. He is the recipient of an Academy Award, BAFTA Award and a Grammy Award, and has been nominated for two Primetime Emmy Awards. His feature films Boy (2010) and Hunt for the Wilderpeople (2016) have each been the top-grossing New Zealand film.",22,2023-02-03 12:11:31.907507+00
26,Nicolai Fuglsig,,1,,,2023-02-03 12:18:49.525849+00
29,Kathryn Bigelow,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/7wiMnFR6WP9SK870AvNQ3LccLi7.jpg,2,"Kathryn Ann Bigelow is an American film director. Her best-known films are the cult horror film Near Dark (1987), the surfer/bank robbery action picture Point Break (1991), the historical/mystery film The Weight of Water (2000) and the war drama The Hurt Locker (2008). The Hurt Locker won the 2010 Academy Award for Best Picture, won the BAFTA Award for Best Film, and was nominated for the 2010 Golden Globe Award for Best Drama.",1,2023-02-03 12:27:34.426048+00
30,Taylor Sheridan,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/enrOQII7bCIf7U0WbdxiuXGfzrs.jpg,1,"Taylor Sheridan (born May 21, 1970) is an American actor, screenwriter and director. He is most known for his role as David Hale on the FX television series Sons of Anarchy, and for writing the screenplay of the Denis Villeneuve-directed Sicario (2015), for which he received a Writers Guild of America Award nomination for Best Original Screenplay.",1,2023-02-03 12:30:43.861075+00
31,Tony Gilroy,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/tjKPe7Yq68p2IaaCAdSOmXStOKq.jpg,1,"Anthony Joseph ""Tony"" Gilroy (born September 11, 1956) is an American screenwriter and filmmaker. He wrote the screenplays for the Bourne series starring Matt Damon, among other successful films. He has been nominated for Academy Awards for his direction and script for Michael Clayton, starring George Clooney. Gilroy recently wrote and directed Duplicity, starring Julia Roberts and Clive Owen.",1,2023-02-03 12:36:08.362909+00
36,Ryan Fleck,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/28EMTivPGStNxDivgUP8PSpOrof.jpg,1,"Ryan K. Fleck (born September 20, 1976) is an American film director, cinematographer, editor, and screenwriter best known for directing and writing the 2006 film Half Nelson and the 2008 film Sugar. He is known for his collaborations with fellow filmmaker Anna Boden.",1,2023-02-03 12:49:19.873134+00
37,Jordan Vogt-Roberts,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qry6XjwABJ3mlEB95pDO7IACwgk.jpg,1,"Jordan Charles Vogt-Roberts is an American film and television director. His feature directorial debut, The Kings of Summer, screened at the 2013 Sundance Film Festival, where it was nominated for the Grand Jury Prize, and also at the 2013 Cleveland International Film Festival. The film won the Narrative Feature Audience Award at the 2013 Dallas International Film Festival.",1,2023-02-03 12:51:15.466646+00
38,Jon Watts,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,1,"Jonathan ""Jon"" Watts (born June 28, 1981) is an American film director, producer and screenwriter. He is best known for directing the Spider-Man MCU trilogy starring Tom Holland. Watts was born and raised in Fountain, Colorado. He studied film at New York University. Before directing movies, he directed commercials for production company Park Pictures.",1,2023-02-03 12:56:47.284954+00
39,Ruben Fleischer,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/3JLxOPFTLigSy8FjFjDyMwD9GIp.jpg,1,"Ruben Samuel Fleischer (born October 31, 1974) is an American film director, film producer, television producer, music video director, and commercial director who lives in Los Angeles. He is best known as the director of Zombieland, his first feature film. He followed it by making the films 30 Minutes or Less, Gangster Squad and the 2018 film version of Venom which is based on the Marvel Comics character. Prior to directing feature films, Fleischer was a director of television commercials and music videos, working for such brands as Cisco, Eurostar, ESPN, and Burger King, as well as such artists as M.I.A., Electric Six, DJ Format, and Gold Chains.",1,2023-02-03 13:02:06.75517+00
40,James Gunn,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg,1,"James Francis Gunn Jr. (born August 5, 1966) is an American filmmaker, executive and actor. He began his career as a screenwriter in the mid-1990s, starting at Troma Entertainment with Tromeo and Juliet (1997). He then began working as a director, starting with the horror-comedy film Slither (2006), and moving to the superhero genre with Super (2010), Guardians of the Galaxy (2014), Guardians of the Galaxy Vol. 2 (2017), The Suicide Squad (2021), and Guardians of the Galaxy Vol. 3 (2023). In 2022, Warner Bros. Discovery hired Gunn to become co-chairman and co-CEO of DC Studios.",1,2023-02-04 02:50:52.016676+00
41,Colin Trevorrow,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/i0HBClPMPKn3aq8QeQqyThS67EK.jpg,1,"Colin T. Trevorrow (US: /trəˈvɑːroʊ/; born September 13, 1976) is an American film director and screenwriter. He directed the indie film Safety Not Guaranteed (2012) and the blockbuster film Jurassic World (2015), and also co-wrote the script to Jurassic World and its 2018 sequel.",1,2023-02-04 02:55:51.059951+00
42,J. A. Bayona,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/cnbbnS7K8Uu6yohAfSRHv5Kxc7r.jpg,1,"Juan Antonio García Bayona is a Spanish director, known for his supernatural horror debut The Orphanage (2007), disaster thriller The Impossible (2012), fantasy drama A Monster Calls (2016), action-adventure blockbuster Jurassic World: Fallen Kingdom (2018), and survival thriller Society of the Snow (2022).",13,2023-02-04 02:58:35.415271+00
43,Morten Tyldum,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/uVoK0gK1SwGVgPvlgKwct0Hl8pG.jpg,1,"Morten Tyldum (born 19 May 1967) is a Norwegian film director. He is best known for directing internationally successful films such as Headhunters (2011), a thriller based on a novel by Jo Nesbø and The Imitation Game (2014), a historical drama for which he was nominated for the Academy Award for Best Director.",23,2023-02-04 03:02:38.336799+00
44,Gary Ross,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fEZbjmP02SIaXf1PLYhBE7uzWGn.jpg,1,"Gary Ross (born November 3, 1956) is an American film director, writer, and producer. He is best known for directing The Hunger Games.",1,2023-02-04 03:10:13.654346+00
46,Chris McKay,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/mQ42IPTpYQUOHuaVj19O1rBaZx9.jpg,1,"Chris McKay (born November 11, 1973) is an American film and television director, producer, editor, animator, and visual effects artist. In television, he is best known for directing and editing three seasons of ""Robot Chicken"" and two seasons of ""Moral Orel."" In film, after writing and directing the independent romantic drama ""2wks, 1yr"" (2002), he went on to work as an animation co-director on ""The Lego Movie"" (2014) with Phil Lord and Christopher Miller, then directed the spinoff feature ""The Lego Batman Movie"" (2017).",1,2023-02-04 03:17:32.522616+00
53,Joachim Rønning,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6Ngvvc3WIPgg7L0vvMUYs4uHYjR.jpg,1,"Joachim Rønning is a Norwegian film director who usually works in a team with Espen Sandberg - both natives of Sandefjord, Norway. As a directing team, they go under the name of Roenberg (their last names put together). They co-own one of Scandinavia's largest production companies for commercials called Motion Blur. In 2006 their feature film debut, Bandidas, starring Penelope Cruz and Salma Hayek, was released worldwide through EuropaCorp and Twentieth Century Fox. The movie was written and produced by legendary French filmmaker Luc Besson. Joachim Rønning has two daughters with his wife Kristin. They live in Oslo, Norway.",23,2023-02-04 08:46:57.089282+00
60,Boaz Yakin,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/fBMZdwXjIilRm4tWHs24fPnsVeq.jpg,1,"Boaz Yakin (Hebrew: בועז יכין‎, born June 20, 1966) is an Israeli-American screenwriter, film director, and producer based in New York City. He has written screenplays to films like The Rookie, Fresh, A Price Above Rubies, Prince of Persia: The Sands of Time, and Now You See Me, and has directed the 2000 sports drama Remember the Titans and the 2012 Jason Statham action film Safe. As a producer he has collaborated frequently with filmmaker Eli Roth and served as executive producer for the first two entries in the Hostel franchise.",1,2023-02-06 02:52:00.575903+00
62,Patrick Hughes,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1yTU7U9HVchCQ1KO66noEKuK5J2.jpg,1,Patrick Hughes is an Australian film director and screenwriter.,5,2023-02-06 03:04:48.733299+00
64,John Singleton,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/akcugIHTLKZajrsq51uGGGzHEdv.jpg,1,"​John Daniel Singleton (January 6, 1968-April 29, 2019) was an American film director, screenwriter, and producer. A native of South Los Angeles, many of his films consider the implications of inner-city violence like the critically acclaimed and popular Boyz n the Hood, Poetic Justice, Higher Learning and Baby Boy. He later branched out into mainstream territory with the blockbuster 2 Fast 2 Furious and Four Brothers.",1,2023-02-06 03:36:19.775871+00
68,Jake Kasdan,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/pIpY7zcBSpq6Z3Q1eADPtKDB043.jpg,1,"ake Kasdan (born Jacob Kasdan; 28 October 1974) is an American television and film director.

Kasdan was born in Detroit, the son of Meg (née Goldman), a writer, and writer-director Lawrence Kasdan.  His younger brother, Jon Kasdan, also works in the film and television industry as an actor and writer. He is married to singer/songwriter Inara George of The Bird and the Bee.",1,2023-02-06 06:56:46.031802+00
74,David Leitch,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qykhwWkXTAteD9yvsmItXh9LxCq.jpg,1,"David Leitch (born November 16, 1975) is an American filmmaker, actor, stunt performer and stunt coordinator who made his directorial debut on the 2014 action film John Wick with Chad Stahelski, though only Stahelski was credited. Leitch then directed the 2017 thriller film Atomic Blonde, starring Charlize Theron, and 2018's Deadpool 2, the sequel to the 2016 film. In 2019, he directed Hobbs & Shaw, a spin-off of the Fast & Furious franchise.",1,2023-02-06 07:21:28.752215+00
76,Shawn Levy,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/b1ulkCHz8biG87LjLQQiMCebEZo.jpg,1,"Shawn Adam Levy (born July 23, 1968) is a Canadian-American director, producer and actor who directed the comedy films Big Fat Liar, Just Married, Cheaper by the Dozen, The Pink Panther, Night at the Museum, and Date Night. He has also directed many television shows, including Cousin Skeeter, The Famous Jett Jackson and Pepper Dennis.",4,2023-02-06 07:34:57.366367+00
80,Angga Sasongko,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/yKkBjMzQwGcfbRcSEeCv7k2kIp7.jpg,1,"Angga Dwimas Sasongko (born in Jakarta, January 11, 1985) is an award-winning Indonesian film director. His career began when he was 19 years old. In 2008, he founded Visinema Pictures, an award-winning Film Production Company based in Jakarta, Indonesia. He had created dozens of TV commercial videos, hundreds of Music Videos, one feature documentary and five feature films. Angga won his first award when Cahaya Dari Timur: Beta Maluku (We Are Moluccans) received the Best Picture award at the 2014 Indonesian Film Festival (FFI).",2,2023-02-06 08:17:13.03648+00
86,Cary Joji Fukunaga,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qhrtYCUM2NEaqVP3oB7vqkOTpx0.jpg,1,"Cary Joji Fukunaga is an American film director, writer, and cinematographer. He is known for writing and directing the 2009 film ""Sin Nombre"", the 2011 film ""Jane Eyre"", and for directing and executive producing the first season of the HBO series ""True Detective"", for which he won the Primetime Emmy Award for Outstanding Directing for a Drama Series. He has received acclaim for the 2015 war drama ""Beasts of No Nation"", in which Fukunaga was writer, director, producer, and cinematographer.",1,2023-02-06 14:16:10.528002+00
87,Marc Forster,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/m3WEGG6czBjgFULVyVQy6EJvUsZ.jpg,1,"Marc Forster (Illertissen, November 30, 1969) is a German-Swiss filmmaker and screenwriter, known for films such as Monster's Ball, Finding Neverland, Stranger than Fiction, The Kite Runner, and the James Bond film Quantum of Solace.",8,2023-02-07 04:54:39.793797+00
47,Ridley Scott,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,1,"Ridley Scott was born on 30th November, 1937, in South Shields, Tyne and Wear, England, the son of Elizabeth and Colonel Francis Percy Scott. He was assigned to design the second Doctor Who serial, The Daleks, which would have entailed realising the famous alien creatures. However, shortly before Scott was due to start work, a schedule conflict meant that he was replaced on the serial by Raymond Cusick.",3,2023-02-04 03:25:11.906056+00
48,Paul Greengrass,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kJxQWrERq8p7gxRP2fIcS8suwme.jpg,1,"Paul Greengrass (born 13 August 1955) is an English film director, screenwriter and former journalist. He specialises in dramatisations of real-life events and is known for his signature use of hand-held cameras.",3,2023-02-04 03:33:10.96769+00
50,James Gray,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6oRlizIlhI2exF3OEGvtB6M7KmZ.jpg,1,"James Gray (born April 14, 1969; New York City) is an American film director and screenwriter. Gray was born in New York City and grew up in the neighborhood of Flushing. He is of Ukrainian-Jewish descent, with grandparents from Ostropol, Western Ukraine. The original family name was ""Grayevsky"". His father was once an electronics contractor.",1,2023-02-04 08:38:13.177673+00
